(1)pl	(chicken)_gizzard	1sg	all	also	and	bat	be_afraid	beggar	bottle	breasts	bully	cheeky	chopsticks	cold_water	cricket	dirty	door_jam	dragonfly	eat_(breakfast)	egg	female_dog	flash_lightning	fly	frog	general_mw	go_out_of_business	growing_grain	horse_cntr	how_(to_do_)	hungry	instance_cntr	keep_a_fire_(for_warmth)	knife_mw	lay_(egg)	leftover_(rice)	loc.	look	male_dog	moon	nose	not_viscous	owe	pass.	play	pomelo	rainbow	relax_in_a_cool_place	salt	search_for	serve_up_rice	shoulder	shout	shrimp	sleep	son	soup_spoon	soybean	sparrow	spider	steamed_rice	stroll	sturdy	that	thief	this	throw	to_rain	toad	tomorrow	tongue	tree_cntr	umbrella	well-behaved	who	wing	yesterday
HJ	tɐiLFR. / tɔiLFR.	kɐnLR.	ŋɔLR.			tʰuŋLRF. / kapHB.	fɐiHF.θyHF.	pʰaHB.	hɐtHT.tʰɛtHB.tsaiHF. / hɐtHT.tʰɛtHB.lɔuHF.	tsɐnHF. / ɛŋHF.	ninHF.		tʰiuHB.pʰɐiLR. / pɛkHB.jinLRF.	tœyLFR.	tuŋHB.θuiHF.	tsitHT.tsɐtHT.	latLFR.tʰatHB. / wuHF.tsɔuHF.	munLRF.kimLFR.	lɔŋLRF.laiHF.	hɛtHB.	tsʰɐnHF.	kauHF.naHF.	tsᴇHF.lɐpLFR.lɛŋLFR.	tsʰɔŋHF.jɐŋLRF.	kɐpHT.naHF.	kɔHB.	tsɐpHT.lɐpLFR.	wɔLRF.	tauHF.		tɔuLR.kiHF.	tsʰɐiHB. / tʰɔŋHB. / wɐnLRF.	hɔŋHB.	tsiHF. / paHF.	ɔHF.	lɛŋLR.	tɔuLFR.	tʰaiHF. / hɔnHB. / mɔŋLFR.	kauHF.kuŋHF.	jytLFR.lœŋLFR.	pɐiLFR.kɔHF. / pɐiLFR.lɐŋHB.nɐŋHB..	wɛnHF.	tsɛŋHF.	pɐiHF.	θaHF.	kuɔHF.jauHB.	huŋLRF.	lœŋLRF.	jinLRF.	wɐnHF.	juHF. / tsɔiHB.	pɔkHB.tauLRF.	kiuHF. / wuiHF.	haHF.kuŋHF.	fɐnHB.	tsaiHF.	tsiLRF.kɛŋHF.	wɔŋLRF.tauLFR.	maLRF.lɐtHT.tsɐiHF.	kʰɐmLRF.lɔuHF.	fanLFR.	tɔŋLFR.	kitHT.θɐtLFR.	pɐiHF.	tsʰakLFR.tsaiHF.	kɔHF.	fɛŋHB.	lɔkHB.jyLR.	kʰɐmHF.tsyLRF.	tʰuŋHF.tiuHF.jɐtLFR.	lɐiLFR. / tsitLFR.	tauHF.	tsɛHF.	kuaiHF. / tʰɛŋHF.waLFR.	jɐuHF.naHF.	tsʰiHB.	hɐiHF.jaLFR.jɐtLFR.
HK	teiLT.	sɐnLR.	ŋɔLR.	tsʰynLF.pouLT. / hɐmLT.paŋLT.laŋLT.	touHT.	tʰuŋLF. / tʰuŋLF.maiLF.	pʰinHT.fukHT. / fukHT.syHR.	kɛŋHT.	hɐtHT.jiHT.	tsœnHT.	ninHT.	haHT.	tʰiuHB.pʰeiLF. / pakHB.jimHB.	faiHB.tsiHR.	tuŋHB.sœyHR.	tsikHT.tsøtHT. / sikHT.søtHT.	latLT.tʰatHB. / laLR.tsaHR. / wuHT.tsouHT.	munLF.tsʰanLR.	tʰɔŋLF.meiHT. / tsʰiŋHT.tʰiŋLF.	sikLT.	tanHR.	kɐuHR.naHR.	simHR.tinLT.	wuHT.jiiŋHT.	tʰinLF.kɐiHT. / tsʰiŋHT.waHT.	kɔHB.	tsɐpHT.lɐpHT.	wɔLF.	tsɛkHB. / pʰɐtHT.	timHR.jœŋHR. / timHR.jœŋHR.	tʰouLR.ŋɔLT.	wɐnLF. / tsiHB.	puiLT.	tsœŋHT. / paHR.	saŋHT.	laŋLR.	hɐiHR. / hœŋHR.	tʰɐiHR.	kɐuHR.kuŋHT.	jytLT.kuɔŋHT.	peiLT.kɔHT. / peiLT.	heiHT.	tsaŋHT.	peiHR.	wanHR.	lukHT.jɐuHR.	tʰinHT.huŋLF. / tsʰɔiHR.huŋLF.	tʰauHR.	jimLF.	wɐnHR.	tsɔŋHT.	pɔkHB.tʰɐuLF.	ŋaiHB. / kiuHB.	haHT.	fɐnHB.	tsɐiHR.	tsʰiLF.kɐŋHT.	wɔŋLF.tɐuHR.	maLF.tsœkHR.	kʰɐmLF.louLF. / tsiHT.tsyHT.	fanLT.	kʰuaŋLT.	sɐtLT.tsɛŋLT.	kɔHR.	tsʰakLT.tsɐiHR.	niHT.	tɛŋHB. / pʰɛkLT.	lɔkLT.jyLR.	kʰɐmLF.kʰœyHR.	tʰiŋHT.jɐtLT.	leiLT.	pʰɔHT.	tsɛHT.	kuaiHT.	pinHT.kɔHB.	jiikLT.	kʰɐmLF.jɐtLT. / tsʰɐmLF.jɐtLT.
HS	LF.		ŋɔHB.	hamHB.paHB.laŋHB.	tɔHB.	hɔuŋLR.	fɔukHT.syHT.	fuŋHB.	hatHT.jiHT.	tœnLF.	nenLF.	haHB.	janLF.haiLR.	faHB.tyHT.	ɔuŋHB.suiHT.	tikHT.tsutHT.	latLT.tʰatHB.	mɔnLR.tsʰanLF.	nuŋLR.maiLR.	sikLT.	anLF.	kɔuHT.naHT.	simHT.enLF.	vuHB.jiŋLF.	henLR.kɔLF.	kɔHB.	tsapHT.lapHT. / ɛHT.tɛLF.	kɔukHB.	tsikHB.	kiŋHT.	auHT.ŋɔuLF.	hœŋHB.	vyɵLF.	tsuŋHB.	hɔtHB.	liaŋHB.	huŋHT.	heiHT.	kɔuHT.kɔuŋLF.	jytLT.kuuŋHT.	vaiLF.	hiHB.	tsiaŋHB.	vaiHT.	saHT.	lɔukHT.jauHR.	kɔuŋHT.	sɛHT.	jimLR.	vunHT.	tsœŋHB.	kenHB.hɔuLR.	kiɵHB.	haLF.	funHB.	tɔHT.	tsʰiLR.kiaŋHB.	viakLT.ɔuLF.	jyɵLR.tukLT.	kʰɐmLR.lɛLR.	fanLF.	liɵLF.	satLT.tiŋLF.	kanHR.	syHT.mɔuHT.tɔHT.	kʰaiLF.	kviŋLF.	lœkLT.suiHT.	kʰamLF.syLF.	henHB.jatHB.	laiLF.	ɔuHB.	tsiɵHB.	kuaiHT.	m̩LF.kɔHB.	jikLT.	tɔuŋLF.jatHT.
HX	tuiLT.	sɐnHB.	ŋɔLR.	hɐmLRF.paLT.lɐŋLRF.	hiLR.	kuŋLT.	fiHT.syHB.siɔŋHT.	pʰaHF.	hɐtHT.ȵiHT.	tsunHT.	mɛLRF.tsɛHT.	hɐpHT.	tʰiuHF.pʰiLRF.	kʰuaiHF.tsɔiLT.	jɐnHT.suiHB.	tʰuHB.kɐuHB.	uHT.tsʰukHT.	munLRF.fukHB.	tsʰiŋHT.tʰiŋLRF.	hɐkHT.	tʰanLT.	kɐuHB.muLR.	taHB.liŋLT.	mɐnHT.liŋLRF.	kɔpHB.mɛHT.	kɔHF.	kʰɐpHT.tɐuHB.	kukHT.	pʰɐtHT.	tʰuŋLRF.niŋLR.	kiHT.	huiLRF.	tsikHT.	paHB.	ɔHT.	siŋLT.	kɐnHT.	tʰaiHR.	kɐuHB.kuŋHT.	ȵytLR.kɔŋHT.	pɐtLT.	hiHT.	tsaŋHT.	tsiɛkLT.	laŋHT.	pukLT.tsɐiHB.	maŋLT.kaŋHT.	siŋLRF.	himLRF.	wɐnHB.	hiuLR.	pɔkHB.tʰɐuLRF.	hamHF.	haHT.kuŋHT.	suiLT.	ȵiLRF.	tʰɔŋHT.kɐŋHF.	wɔŋLRF.tɐuLT.	tsiauHT.tsʰiɛkHB.	tsɐnHB.tsɐuHT.	fanLT.	laŋHT.	kitHB.sɐtLT.	nɔLT.	pakLT.nɛmHT.	kɔHB.	tiuHT.	lɔkLT.hyLR.	tsɐmLRF.siLRF.	miŋLRF.ȵɐtLR.	lɐiLT.	tɐuHT.	tsɛHT.	kuaiHT.	naHB.kɔHF.	hikLR.	tsukLT.ȵɐtLR.
HXHS	tɛLF.	sɐnLR.	ŋaiHB.	hamLF.paLF.laŋLF.	touLR.	tʰuŋLR.	feiHB.syHR.	fɔŋHB.	hɐtHT.jiHT.	tsɐnHT.	ninHT.	haHB.	ŋɐnHB.pʰeiLR.	faiHB.tsiHT.	tuŋHB.soiHR.	tsɐtHT.	lɐiLR.sɐiLR.	teiLF.fukLT.	juŋLR.meiLF.	səkLT.	tanLF.	kɐuHR.naHR.	simHR.tinLF.	vuHT.jəŋHT.	kɐpHB.naHR.	kaiHB.	tsɐpHT.lɐpHT.	vɔLR.	tsiakHB.	təŋHT.jɔŋHR.	touLF.ŋɔLF.	tʰuŋHB.	tʰamLF.	tsiɔŋHB.	kimHR.	laŋLR.	hɐiHR. / hɔŋHR.	tʰɐiLR.	kɐuHR.kuŋHR.	jytLT.kuɔŋHF.	peiLF.kɔHF.	heiHB.	tsaŋHF.	peiHR.	liuLF.	lukHB.tsɐiHR.	lanHT.kuŋHB.	tʰauHR.	jimLR.	vanLR.	tsɔŋHB.	kanHF.tʰɐuLR.	jɐuHR.	haHF.	fɐnHB.	tsɐiHR.	tsʰiLR.kɐŋHF.	vɔŋLR.tɐuLF.	vɔLR.tsiɔkHB.	kʰɐmLR.lauLR.	fanLF.	kuaŋLF.	sɐtLT.tsiaŋLF.	kaiHB.	jɛLF.mɔHT.	neiHT.	fəŋHB.	lɔkLT.jyLR.	kʰɐmLR.kʰuiLF.	tʰəŋHB.tsiuHT.	leiLF.	pʰɔHT.	tsiɛHT.	kuaiHB.	mɐtHB.suiLR.	jəkLT.	tsʰɐmLR.manLR.
HZ	nɛHF.		ŋɔLFR. / ŋwɐŋHB.	jɐtHT.wuiLF.			fɛiHF.siHR.	kiŋHF.	hɐtHT.n̩HT.lɔɑuHR.	tinHF.	nɛŋHF.		kauHR.	faiHB.tsʰiLF.		tʰɔuHR.kɐuHR.		munHB.tɛiLF.fukLT.	tɔŋHB.nɛiHF. / nɐŋHB.nɛiHF.	hɐkHT.	tanLF.	kɐuHR.nɛŋHF.	fɔHR.sɛHB.	mɐmHB.jiŋHB.	kɔkHB.	tsikHT.	tsɐpHT.lɐpHT.	wɔHB.		tɛŋHB.tɛiHR.	tɔuLFR.kɛiHF.	wuiLF.	tsikHT.		saŋHF.	tʰamHB.	tʰɔiLF.	tʰɐiHR.	kɐuHR.kuHF.	witLT.lɛŋLF.	pɛiLF.	hɛiHF.		bɛiHR.	lamHB.	kaHF.pukLT.	kaŋHB.	lɔŋLF.		wɐnHF. / lɔHF.	ȵiuHR. / bɐtHT.		ɛuHF.	haHF.kuŋHF.	mɐiHB.	tɐiHR.		paakLT.tɐuLF.	wɔHB.mɛiHB. / kukHT.mɛiHB.	kʰɐmHB.lɔHB. / tʰinHF.tʰɐuHF.n̩HF.	fanLF.	tɔŋLF. / sauHB.	mɐtLT.sɐtLT.	naLF.	tʰɐtLT.	kɔHB.	diuHF. / tɐpLT.	lɔkLT.suiHR.	kʰɐmHB.siHB.	miŋHB.tsiuHF.ȵɐtLT.	lɛiLF.	dɐuHF.		tʰiŋHF.kaŋHR.	mɐtHT.suiHB.	jikLT.	tʰukLT.ȵɐtLT.
JM	kLF.	kʰɐnLR.	ŋaiLR.	hamLF.paLF.laŋLF.	jiikLF.	hɔŋLT.	feiLR.siHR.	kiaŋLR.	hɐtHT.jiHR.	tsɐnLR.	limLR.hɔŋLT. / laiLR.	haLF. / heiLR.fuLF.	pakHT.jamLR.	faiLR.tsiHR.	tsuŋLR.suiHR.	tseuHR.tsɐtHT.	laLT.tsaHR. / latLF.hatHB.	munLT.tsʰamLR.	luŋLT.leiLR.	sikLF.	tanLF.	kouHR.laHR.	hinLR.siapHB.	fuLR.jiiŋLR.	kɐpHB.	kaiLR.	suLR.suiHR.	vaLT.	tsiakHB.	kiHR.jœŋLR.eHR.	touHR.keiLR.	vaŋLT.	puiLF.	tsiœŋLR.	saŋLR.	laŋLF.	heiHR.	heHR.	kouHR.kuHR.	jatLF.kuaŋLR.	peiLF.kɔHR.	heiLR.	tsaŋLR.	peiHR.	linHR.	puHR.lɔkHT.	kiuLR.kɔŋHR.	sauHR.	jamLT.	vɐnHR.	jauHR.	kɐnLR.houLT.	hemLR. / kiuLR.	haLR.	fɐnLR.	tseiHR.	siLT.kaŋHB.	vaŋLT.touLR.	vaLT.tsiœkHB.	kʰɐmLT.lauLF.	fanLF.	tɔŋLF.	sɐtLF.tsiaŋLF.	liŋLT.	siuHR.mɔHR.	kʰɐtLF.	tiaŋHB. / sauLF.	lukLF.suiHR.	kʰɐmLT.siLT.	hinLR.tsauHR.	leiLF.	touLR.	tsiaLR.	kuaiLR.	pinLR.kaiHR.	jiikLF.	tsouLF.manLR.
JT	teiLF.	kʰəŋHR.	ŋɔLR.	tʰuŋHR.tʰuŋHR.	jəkLT.	tʰuŋLF.mᴀiLF.	feiLR.syHR.	kʰuɔŋLF.	hækHR.jiHT. / hækHR.jiLF.ləuHR.	tsəŋLR.	mᴀLR.tsəiHR.	hᴀHT.	ŋæŋLF.peiLF.	tsyLF.	tuŋLR.sɵyHR.	tsukHT.tsykHT.	ŋəŋHR.siHR.	mʊŋLF.tsæŋLR.	nɔŋLF.neiLF.	hɛkHR.	tsʰəŋLR.	kəuHR.nᴀHR.	simHR.tiŋLF.	fʊLF.jəŋLF.	kəpHR.	kɔLF.	tsəpHR.ləpHR.	wɔLF.	tsɛkHB.	timHR.jœŋHR.	tʰʊHR.ŋɔLF.	tʰɔŋHB.	tʰᴀmLF.	tsœŋLR.	sæŋLR.	læŋLR.	həiHR. / hœŋHR.	tʰəiHR.	kəuHR.kuŋLR.	jykLT.kuɔŋHT.	peiLF.kuŋLR.	tsʰɛŋLR.	tsæŋLR.	peiHR.	wuæŋHR.	wɔLF.lukHT.	kʰuŋLR.	sᴀuHR.	jimLF.	tsʰəmLF.	juLR.	kæŋLR.tʰəuLF.	hᴀmLR.	hᴀHT.	fəŋLR.	tsəiHR.	tʰɔŋLF.hɔkHR.	wɔŋLF.təuHR.	mᴀLF.tsœkHR.	kʰəmLF.lɔHR.	fæŋLF.	liuLF.	kikHR.səkLT.	kɔHR.	tsʰəkLT.	nɛHR.	təmHR.	lɔkLT.jyLR.	kʰɐmLF.kʰœyHR.	təŋHR.jəkLT. / məŋLF.jəkLT.	leiLF.	pʰɔHT.	tsɛHT.	kuᴀiHT.	ᴀLR.sɵyLF.	jəkLT.	tsʰɔLR.jəkLT.
KP	LF.	kʰenLF.	ᵑgɔiHB.	hamLF.paLF.laŋLF.	ziakLF.	huŋLT.	fuiHB.siHT.	ⁿdutLF.	hatHT.ᵐbaiHT.tuɔiHT.	tunHR.	ⁿdinHR.	heHB.fuLF. / haHB.	kʰaiLT.siaŋHT.	faiHR.	wuŋHB.suiHT.	ɬetHT.ɬutHT.	latLF.tʰatHB. / laLT.tsaHT.	ᵐbunLT.eiLF.fukHT.	vɔŋLT.ⁿdeiHR.	hiakHB.	anLF.	kauHT.ⁿdaHT.	hinHB.sepHB.	vuɔLT.zenHR.	hinLT.kaiHR.	kuɔiHB.	siuHB.suiHT.	vuaLT.	kuɔiHB.	kiHT.ziaŋHR.	wuHT.ᵑguLF.	vaŋLT. / lunLF.	hamLT.	tsiaŋHB.	saŋHB.	wuŋHB.	ɔHB.	haiHT.	kauHT.kuŋLF.	huLT.suHR.	veiLF.kuHT.	heiHB.	tsaŋHB.	eiHT.	lauLF.	vuHT.lukHT.	vɔkLF.ᵑgiHT.luŋLT.	sauHT.	siaŋLF.ᵐbeiLF.	vanHT.	zieuHT.	kanHB.hauLT.	hamHB.	haHR.	funHB.	tuɔiHT.	siLT.kaŋHR.	vɔŋLT.auLF.	vuɔLT.tiakHT.	kʰaLT.laHR.	fanLF.	wuŋLF.	sitLF.tiaŋLF.	ⁿdenLF.	ɬiuHT.ᵐbuHT.	kʰuɔiLF.	hiakHB. / sauLT.	lɔkLF.suiHT.	kʰamLT.siLT.	hinHB.tɔHT.	leiLF.	auHB.	tsiaHR.	hiaŋHB.kauHB.	ᵐbutHT.aHB.suiHR. / ᵐbutHT.suiHR.	zetLF.	tɔkLF.ᵐbanHR. / tɔkLF.ᵐbanHR.ᵑgetLF.
LC	teiHB.	kɐnLR.	ŋɔLR.			tʰuŋLF.	feiHT.syHR.	kiŋHT.	hɐtHT.jiHT.	tsynHT.	linHT. / laiLR.tʰɐuLF.		patHB.jinHB.	faiHB.tsiHR.	tuŋHB.sœyHR.	tsikHT.	latLT.tʰatHB. / wuHT.tsouHT.	munLF.kʰanHR.	tʰɔŋLF.meiHR. / hɐuLT.meiHR.	sikLT.	tanHR.	kɐuHR.laHR.	sinHR.tinLT.	wuHT.jiŋHT.	katHB.laHR. / tʰinLF.kɐiHT.	kɔHB.	tsɐtHT.lɐtHT.	wɔLF. / sœyHR.touLT.	tsikHB.		touLR.ŋɔLT.	wɐnLF. / wɐnLF.	puiLT.	paHR.	saŋHT.	laŋHR.	hɐiLT. / hœŋHR.	tʰɐiHR.	kɐuHR.kuHR.	ytLT.kɔŋHT.	peiLT.kɔHT.	heiHT.	tsɐnHT.	peiHR.	wanLF.	jɐuHB.kuŋHT.	tʰinHT.kuŋLF.	tʰɐuHR.	jinLF.	wɐnLR.	tsɔŋHT.	kinHT.tʰɐuLF.	kiuHB.	haHT.kuŋHT. / haHT.	fɐnHB.	tsɐiHR.	tsʰiLF.kɐnHT.	wɔŋLF.tɐuHR.	wɔLF.tsœkHB.tsɐiHR. / maLF.tsœkHB.	kʰaLT.laLF.	fanLT.	tɔŋLT. / hɐnLF.	sɐtLT.tsiŋLT.	kɔHR.	pʰaLF.sɐuHR. / siuHR.tʰɐuHT.	liHT.	pʰikHB. / tiŋHB.	lɔkLT.yHR.	kʰɐmLT.kʰeiLT.pʰɔLF.	tʰiŋHT.jɐtLT.	leiLT.	pʰɔHT.	tseHT.	kuaiHT.	pinHT.kɔHB.	jitLT.pʰatHB.	kʰɐnLF.jɐtLT.
LD	tei.	kʰɐiLR.	ŋoLR.			tʰuŋLF.	fukHT.syHR.	kiŋHT.	hɐtHT.niHT.	tsɐnHT.	ȵiɐŋHT.		tʰiuHB.pʰeiLF.	faiHB.tsiHR.	tuŋHB.suiHR.	tsukHT.tsɐkHT.	latLT.tʰatHB. / wuHT.tsouHT.	munLF.kʰɐmHR.	tʰɔŋLF.neiHT.	sikLT.	tsʰɐnHT.	kɐuHR.naHR.	simHR.tinLF. / sipHT.liŋLF.	wuHT.jiŋHT.	kapHB.naHR.	koHB.	tsɐpHB.lɐpHT.	wuoLF.	pʰɐtHT.		tʰouLR.keiHT.	tsʰiHB.	puiLF.	paHR.	sɐŋHT.	lɐŋLR.	tsoiLR.	tʰɐiHR.	kɐuHR.kuHR.	ȵytLT.kɔŋHT.	peiLF.koHT.	heiHT.	tsɐŋHT. / himHB.	peiHR.	saHR. / wanHR.	mɐtLT.jɐuLF.		tʰɐuHR.	jimLF.	wɐnLR.	tsœŋHT.	pukHB.tʰɐuLF.	euHT.	haHT.kuŋHT.	suiHB.	tsɐiHR.	tsʰiLF.kɐŋHT.	wɔŋLF.tɐuHR.	maLF.tsœkHB.	kʰɐmLF.louHR. / kʰaLT.laLF.	fanLF.	tɔŋLF.	kitHB.sɐtLT.	koLR.	tsʰɐkLT.tsɐiHR. / pʰaLF.sɐuHR.	niHT.	tiŋHT.	lɔkLT.suiHR.	kʰɐmLF.kʰuiHR.	tʰiŋHT.ȵiɐtLT.	leiLF. / leiLF.tʰɐuLF.	pʰoHT.	tseHT.	kuaiHT.	pinHT.koHB.	jikLT.	tsʰɐmLT.mɐtLT.
LJ	teiLR.	sɐnHR.	ŋɔLR.				feiHT.siHR.	kɛŋHT.	hɐtHT.ŋiHT.	tsɐnHT.			pakHB.jiŋHB.	faiHB.tsiLB. / tsiLB.	touŋHB.sɵiHR.	ɬikHT.ɬɐtHT.	ŋɐnHR.		nɐpHT.neiHT.	sikLB.	tanLB.	kɐuHR.naHR.	kɔŋHT.ŋɐkLB.ŋanLR.	mɐnHT.jiŋHT.	kɐpHT.naHR.	kɔHB.	tsɐpHT.lɐpHT.	wɔLB.	tsɛkHB.		tuLR.ŋɔLB.	wɐnLB. / tsʰiHB.	hɔŋHB.	paHR.	saŋHT.	siŋLB.	tsʰɔiHB. / tsɐuHR.	tʰɐiHR.	kɐuHR.kouŋHT.		peiLT.kɔHT.	heiHT.	hiŋHB.	peiHR.	liuLB.	pɔHT.loukHT.	houŋLB.	tʰɐuHR. / siŋLB.	jimLB.	wɐnHR.	tsɔŋHT.	pɔkHB.tʰɐuLF. / kaŋHT.tʰɐuLF.	ɛuHT.	haHT.	sɵiHB.	tsɐiHR.	siLB.kaŋHT. / tʰiuLB.kaŋHT.	wɔŋLB.tɐuLB.	maLB.tsɛkHB.tsɐiHR.	kʰɐmLB.lɐuLB.	faŋLB.	tɔŋHB. / kuaŋHB.		nɔHT.	tsʰakLB.louHR. / tsʰakLB.tsɐiHR.	kɔHR.	tɐpLB.	lɔkLB.sɵiHR.	kʰɐmLB.siLB.	mɐnHR.ȵiatLB. / miŋHR.ŋiɐtLB.	leiLB.	kʰɔHT.	tsɛHT.	kuaiHT.	mɐtHT.lɐnLB.	jikLB.	tsʰouŋLB.ŋiɐtLB.
LS	tuiHB.	sɐnLT.	ŋɔLT.	tsʰunHF.pʰəuHB.	jɛLT.	kʰuŋHB.	fuiLF.suHT.	pʰaLR.	hɐtHT.ȵuiHF.lɔuHT.	həuHF.	miHF.tsiLR.	haLF.	tʰiuLR.pʰuiHF.	kʰuaiLR.tsʰəuLT.	jɐnLF.suHT.	tʰəuHT.kɐuHT.	laLT.tsaLT.	munHF.hɔmLR.	tsʰiŋLF.tʰiŋHF.	hikHT.	tʰanHB.	məuLT.kɐuHT.	simHT.tʰinHB.	mɐnHF.siŋHF.	muLT.kɔpHT.	kɔLR.	kuanLF.munHF.	kukHT.	tsikHT.	tʰuŋHF.nɐŋHT.	kuiLF.	tʰaŋLR.	tsikHT.	paHT.	siɛŋLF.	siŋHB.	tsʰaiHB.	hɔnLR.	kuŋLF.kɐuHT.	ȵitLT.liɛŋHB.	pʰɐtLT.kuŋLF.	huiHT.	tsiɛŋLF.	tsʰiɛkLT.	laŋHT.	pʰukLT.tsuiHT.	pʰaŋLT.kaŋLR.	laŋLT.	jimHF.	wɐnHT.	iuHT.	pakHT.tʰɐuHF.	kamLR.	haHF.kuŋLF.	suHB.	tsaiHT.	tʰiuHF.kiɛŋLF.	wɔŋHF.tʰɐuHB.	maHF.liLF.lɐtHT.	tsiHF.tsɐuLT.	fanHB.	laŋHT.	muŋLR.tsaŋLR.kinLT.	niHT.	tsʰɐkLT.lɔuHT.	kəHB.	tsaiHB.	lakHT.huLT.	kʰɐmHF.suiHF.	miŋHF.ȵɐtLT.	luiHB.	tɐuLF.	ɬanLR.	kuaiHT.	naHB.kɔLR.	hikLT.	tsʰaiLT.ȵɐtLT.
LX	lœyLT.	kɐnHR.	ŋɔHR.			loHF.	fɐiLT.syHT.	pʰaHB.	kiuHB.faHB.loHT.	tsɐnHF.	nɛnHR.		tʰiuLT.pɐiLF.	kʰuaiHB.tsɐiHT.	liaŋHR.syHT.	sikLT.sɐtLT.	latLT.tatHB.	munLT.kinLT.	tsʰiŋLT.tiŋLF.	hikLT.	tsɐnHF.	kauLT.naHR.	sinHT.tɛnLT.	jaŋLF.	tinLF.kaiHF.	naHF.	sɐuLT.tœŋHR.	wɔLF.	pʰɐtHB.		tɐuHR.kɐiHF.	tsʰɐiHB.	puiLT.	tsyŋHF.	siaŋLT.	liaŋLT.	toLT.	mœŋLT.	kauLT.kuHT.	ŋytLT.kuɔŋHF.	pɐiLT.	waŋHB.	tsiaŋHF.	pɐnHF.	saHB.	panHT.lɔkHT.	tʰɛnHF.kœŋHB.	saŋLT.	jinLF.	sanHB.	tsyŋHF.	pœkLT.tauLF.	wɛuHT.	haHF.	fɐnHB.	tsaiHT.	siLT.kiaŋHF.	wɔŋLF.tauLT.	maLF.tsykHT.	kɐnLT.loHF.	panLT.	tœŋLT.	kitHB.sɐtLT.	kɔHB.	paLF.sɐuHT.	lɐiHT.	tiuHF.	lœkLT.jyHR.lɔLF.	kɐnLT.kœyLF.	miŋLT.ȵiɐtLT.	sitLT.tauLF.	tauHF.	tsɛHF.	tʰiŋLT.waLT.	lɐuHB.naHF.	tsʰiLT.pœŋHT.	tsɐiHR.ȵiɐtLT.
MC	teiLT.	tsʰɐnLR.	ŋɔLR.	tsʰynLF.pouLT.	touHT.	tʰuŋLF.	pʰinHT.fukHT.	kɛŋHT.	hɐtHT.jiHT.	tsœnHT.	laiLR.	haHT.	tʰiuHB.pʰeiLF.	faiHB.tsiHR.	tuŋHB.sœyLR.	sikHT.sœtHT.	wuHT.tsouHT.	munLF.kʰamLR.	tʰɔŋLF.meiHT.	sikLT.	tsʰœnHT. / tanHR.	kɐuLR.laHR.	simLR.tinHB.	wuHT.jiiŋHR.	tʰinLF.kɐiHT.	kɔHB.	tsɐpHT.lɐpHT.	wɔLF.	tsɛkHB.	timHR.jœŋHR.	ŋɔLT.	tsʰiHB.	puiLT.	tsœŋHT.	saŋHT.	laŋLR.	hɐiHR.	tʰɐiLR.	kɐuLR.kuŋHT.	jytLT.kuɔŋHT.	peiLT.kɔHT.	heiHT.	tsaŋHT.	peiLR.	wanLR.	lukHT.jɐuHR.	huŋLF.	tʰauLR.	jimLF.	wɐnLR.	tsɔŋHT.	pɔkHB.tʰɐuLF.	kiuHB.	haHT.	fɐnHB.	tsɐiLR.	tsʰiLF.kɐŋHT.	pakLT.tɐuHR.	maLF.tsœkHB.	kɐmLF.lɔHR.	fanLT.	haŋLF.kaiHT.	sɐtLT.tsɛŋLT.	kɔHR.	tʰɐuHT.tsɐiHR.	leiHT.	tɐmLR.	lɔkLT.jyLR.	kʰɐmLF.kʰœyLF.	tʰiŋHT.jɐtLF.	leiLT.	pʰɔHT.	tsɛHT.	kuaiHT.	pinHT.kɔHB.	jiikLT.	tsʰɐmLF.jɐtLT.
MS	tuiLT.	tsɐnHR.	ŋ̍HR.	jətHT.hiHF.	jɛHR.	tʰɐuHB.	fiHF.siHF.	pʰaHB.	kəuHB.waHF.	piŋLF.	niŋLF.	həHF.	nipLT.	kʰuaiHB.ɬiHF.	tuŋHB.suiHF.	tʰuHF.kɐuHF.	uHB.	munLF.kimHR.	tʰiŋHF.tiŋLF.	hikHT.	tanLFR.	kɐuHF.naHF.	simHF.tinLFR.	wɐnLF.iŋHF.	kəpHT.	kɔHB.	tsɐpHT.tuaŋHB.	kukHT.	mɛLT.	nɔHF.nɐnHB.	ŋɔLFR.	tʰuaŋHB.	kɐmLF.	paHF.	siaŋHF.	tsɐuLFR.	ɬɔiHR.	huɔnHB.	kɐuHF.kuHF.	ȵutLT.liəŋLFR.	piLFR.	hiHF.	tsiaŋHF.	piLFR.	wuiHB.tuaŋLR.	luɔkLT.pɐuLFR.	luŋLF.	luaŋLFR.	himLF.	lɐnHF.	tsuaŋHF.	puakHT.tɐuLF.	ɐuHF.	haHF.	tsuiLFR.	ŋiLF.	tiuLF.kiaŋHF.	huəŋLF.tɐuLFR.	maLF.tʰiəkHT.	tsɐmLF.lɔLF.	panLFR.	kuəŋLF.	kitHT.sətLT.	naHF.	ɬɐkLT.	kɔHB.	tsaiHT.	luakLT.suiHF.	kʰəmLF.tsiLF.	ȵətLT.tsiuHF.hɐuLFR.	sitLT.	pʰɔHF.	tsɛHF.	θiŋHF.	tsʰiHB.tauHF.	hikLT.tsʰiHB.	θiLFR.ȵətLT.
