idx,var,xb,pdgx,gy,gloss_zh,gloss_en,dialect,form,family,subfamily,orth,transcription,ref,,
143,3,18,20,,下雨,to rain,DMZ,lok8 shuj3,2,1,落水,lɔk²¹ sui⁵⁵,,,
144,3,18,20,,下雨,to rain,JM,lok8 shuj3,2,1,落水,lok²¹ sui⁴⁵,,,
145,3,18,20,,下雨,to rain,XH,lok8 shuj3,2,1,落水,lɔk²¹ sui⁴⁵,,,
146,3,18,20,,下雨,to rain,TS,lok8 shuj3,2,1,落水,lɔk²¹ sui⁵⁵,,,
147,3,18,20,,下雨,to rain,KP,lok8 shuj3,2,1,落水,lɔk²¹ sui⁵⁵,,,
148,3,18,20,,下雨,to rain,EP,lok8 shuj3,2,1,落水,lɔk²¹ sui⁵⁵,,,
149,3,18,20,,下雨,to rain,HS,lok8 shuj3,2,1,落水,lœk²² sui⁵⁵,,,
150,3,18,20,,下雨,to rain,DG,lok8 y4,1,1,落雨,ŋɔk²² ji¹³,,,
151,3,18,20,,下雨,to rain,BA,lok8 y4,1,1,落雨,lɔʔ²² jy¹¹,,,
152,3,18,20,,下雨,to rain,GP,lok8 shuj3,2,1,落水,lɔk²² ʃui³⁵,,,
153,3,18,20,,下雨,to rain,MS,lok8 shuj3,2,1,落水,luak²² ʃui⁴²,,,
154,3,18,20,,下雨,to rain,GG,lok8 y4,1,1,落雨,løk²³ høy²³,,,
155,3,18,20,,下雨,to rain,BL,lok8 shuj3,2,1,落水,luak²² ʃui³⁵,,,
156,3,18,20,,下雨,to rain,BS,lok8 y4,1,1,落雨,lɔk²² y²³,,,
157,3,18,20,,下雨,to rain,BB,lok8 shuj3,2,1,落水,lɔk¹¹ ʃui³³,,,
158,3,18,20,,下雨,to rain,LS,lok8 y4,1,1,落雨,lak⁵⁵ hu²²,,,
159,3,18,20,,下雨,to rain,PB,lok8 y4,1,1,落雨,lɛk²² həu²⁴,,,
160,3,18,20,,下雨,to rain,QZ,lok8 y4,1,1,落雨,lɔk²² i²³,,,
161,3,18,20,,下雨,to rain,BH,lok8 y4,1,1,落雨,lɔk²² i²³,,,
162,3,18,20,,下雨,to rain,NM,lok8 y4,1,1,落雨,lɔk²² y²³,,,
163,3,18,20,,下雨,to rain,NN,lok8 y4,1,1,落雨,lɔk²² y²³,,,
